ESTACIÓN DE SERVICIO,RAZÓN SOCIAL,DOMICILIO,ENTIDAD FEDERATIVA,MUNICIPIO,EXPEDIENTE,FECHA DE VERIFICACIÓN,SEMAFORO AL 18 DE SEPTIEMBRE DE 2012
5550,"GASOLINERA VISTA ALEGRE, S.A. DE C.V.                                                                                                                                                                                                                          ",AV. 18 DE MARZO # 90                                                                                                                                                                                                                                           ,JALISCO                  ,TLAQUEPAQUE                                                                                                                                                                                                                                                    ,02/014984-2012                                    ,11/08/2012,VERDE
5557,"GAS BARRIENTOS, S.A. DE C.V.                                                                                                                                                                                                                                   ",Camino Vecinal Minas No. 1                                                                                                                                                                                                                                     ,MEXICO                   ,TLALNEPANTLA                                                                                                                                                                                                                                                   ,09/015954-2012                                    ,22/08/2012,VERDE
556,"SAN ANTONIO TEKAX, S.A. DE C.V.                                                                                                                                                                                                                                ",CALLE 27 NO. 384 X 48                                                                                                                                                                                                                                          ,YUCATAN                  ,MOTUL                                                                                                                                                                                                                                                          ,14/014360-2012                                    ,24/07/2012,VERDE
5561,"SERVICIO RAMIREZ DE TEPATITLAN, SA DE CV                                                                                                                                                                                                                       ",AV. LOPEZ MATEOS # 400 ESQ. MAYAS                                                                                                                                                                                                                              ,JALISCO                  ,TEPATITLAN DE MORELOS                                                                                                                                                                                                                                          ,09/010502-2012                                    ,18/05/2012,VERDE
5562,"GASOLINERIA MEDELLIN, SA DE CV                                                                                                                                                                                                                                 ",CARRETERA MUNICIPAL  S/N                                                                                                                                                                                                                                       ,VERACRUZ                 ,MEDELLIN                                                                                                                                                                                                                                                       ,13/014317-2012                                    ,30/07/2012,VERDE
5563,"SERVICIO NO REELECCION, SA DE CV                                                                                                                                                                                                                               ",CALLE NO REELECCION # 1402 OTE.                                                                                                                                                                                                                                ,SONORA                   ,CAJEME                                                                                                                                                                                                                                                         ,10/013353-2012                                    ,11/07/2012,VERDE
5565,"GRUPO DE GASOLINEROS DE MEXICO, SA DE CV                                                                                                                                                                                                                       ",PROLONGACION 5 DE MAYO NO. 3160                                                                                                                                                                                                                                ,DISTRITO FEDERAL         ,ALVARO OBREGON                                                                                                                                                                                                                                                 ,07/008579-2012                                    ,27/04/2012,VERDE
5565,"GRUPO DE GASOLINEROS DE MEXICO, SA DE CV                                                                                                                                                                                                                       ",PROLONGACION 5 DE MAYO NO. 3160                                                                                                                                                                                                                                ,DISTRITO FEDERAL         ,ALVARO OBREGON                                                                                                                                                                                                                                                 ,07/011326-2012                                    ,07/06/2012,VERDE
5576,"SERVICIO SABAGAS, SA DE CV                                                                                                                                                                                                                                     ",AV. XALAPA No.  634 ESQUINA  CIUDAD VICTORIA                                                                                                                                                                                                                   ,VERACRUZ                 ,XALAPA                                                                                                                                                                                                                                                         ,23/014777-2012                                    ,19/07/2012,VERDE
558,RITA IRENE CICERO DUARTE Y GERARDO NAVARRETE ORTEGON                                                                                                                                                                                                           ,CALLE 31 NO. 245                                                                                                                                                                                                                                               ,YUCATAN                  ,PETO                                                                                                                                                                                                                                                           ,14/009764-2012                                    ,13/05/2012,VERDE
5580,"SERVICIO POINTER, SA DE CV                                                                                                                                                                                                                                     ",5 DE MAYO NO. 407                                                                                                                                                                                                                                              ,DISTRITO FEDERAL         ,ALVARO OBREGON                                                                                                                                                                                                                                                 ,07/011323-2012                                    ,06/06/2012,VERDE
5583,SERVICIO GASOLINERO NAVARRETE S.A. DE C.V.                                                                                                                                                                                                                     ,CARRT. TEPIC-GUADALAJARA # 5245                                                                                                                                                                                                                                ,NAYARIT                  ,TEPIC                                                                                                                                                                                                                                                          ,15/010707-2012                                    ,23/05/2012,VERDE
5585,"ESTACION DE SERVICIOS PONIENTE, S.A. DE C.V.                                                                                                                                                                                                                   ",CALLE 21 NO. 441                                                                                                                                                                                                                                               ,YUCATAN                  ,MERIDA                                                                                                                                                                                                                                                         ,14/010655-2012                                    ,22/05/2012,VERDE
5588,"SERVICIO MAGALLANES, S.A. DE C.V.                                                                                                                                                                                                                              ",AV. CUAUHTEMOC 1502 ESQ. CERRO AZUL NUM. 109                                                                                                                                                                                                                   ,GUERRERO                 ,ACAPULCO DE JUAREZ                                                                                                                                                                                                                                             ,02/008474-2012                                    ,24/04/2012,VERDE
5588,"SERVICIO MAGALLANES, SA DE CV                                                                                                                                                                                                                                  ",AV. CUAUHTEMOC 1502 ESQ. CERRO AZUL NUM. 109                                                                                                                                                                                                                   ,GUERRERO                 ,ACAPULCO DE JUAREZ                                                                                                                                                                                                                                             ,02/014056-2012                                    ,25/07/2012,VERDE
559,ELDA MARIA GASQUE CASARES                                                                                                                                                                                                                                      ,CARRET. MERIDA-VALLADOLID                                                                                                                                                                                                                                      ,YUCATAN                  ,TINUM                                                                                                                                                                                                                                                          ,14/009730-2012                                    ,07/05/2012,VERDE
5590,"SERVICIO QUINTO PATIO, SA DE CV                                                                                                                                                                                                                                ",KM 78+800 CARRT. NAL. ACAPULCO-ZIHUATANEJO                                                                                                                                                                                                                     ,GUERRERO                 ,ATOYAC DE ALVAREZ                                                                                                                                                                                                                                              ,02/011220-2012                                    ,05/06/2012,VERDE
5591,DELFINA MORALES RODRIGUEZ                                                                                                                                                                                                                                      ,KM 5 CARRT. VILLAFLORES-TUXTLA S/N                                                                                                                                                                                                                             ,CHIAPAS                  ,VILLAFLORES                                                                                                                                                                                                                                                    ,19/012633-2012                                    ,26/06/2012,VERDE
5592,"SERVICIO EXPRESS CEGAS, S.A. DE C.V.                                                                                                                                                                                                                           ","CARRETERA INDUSTRIAL CELAYA-VILLAGRAN, KM. 5.8                                                                                                                                                                                                                 ",GUANAJUATO               ,CELAYA                                                                                                                                                                                                                                                         ,26/005283-2012                                    ,23/03/2012,VERDE
5593,BALADO NOVOA MARISOL                                                                                                                                                                                                                                           ,PASEO DE LOS INSURGENTES LOTES 12-13-14                                                                                                                                                                                                                        ,MEXICO                   ,TENANCINGO                                                                                                                                                                                                                                                     ,07/017137-2012                                    ,21/08/2012,VERDE
5595,"COMBUSTIBLES, ADITIVOS Y SERVICIOS MAGICOS, S. DE R.L. DE C.V.                                                                                                                                                                                                 ",CALZ. MANUEL GOMEZ MORIN N° 400                                                                                                                                                                                                                                ,BAJA CALIFORNIA          ,MEXICALI                                                                                                                                                                                                                                                       ,10/007855-2012                                    ,25/04/2012,VERDE
5596,ANGELBERTO LOPEZ JIMENEZ                                                                                                                                                                                                                                       ,CARRT. SAN FELIPE AZTATAN-LA PRESA NO. 34 SUR                                                                                                                                                                                                                  ,NAYARIT                  ,TECUALA                                                                                                                                                                                                                                                        ,15/014410-2012                                    ,24/07/2012,VERDE
5597,NESTOR RODRIGUEZ DOMINGUEZ                                                                                                                                                                                                                                     ,CARRETERA IGUALA-TAXCO KM. 1.7                                                                                                                                                                                                                                 ,GUERRERO                 ,IGUALA DE LA INDEPENDENCIA                                                                                                                                                                                                                                     ,07/014851-2012                                    ,19/07/2012,ROJO
5598,"SUPER SERVICIO GARBRI, SA DE CV                                                                                                                                                                                                                                ",AV. VILLAGRAN NO. 817                                                                                                                                                                                                                                          ,GUANAJUATO               ,PENJAMO                                                                                                                                                                                                                                                        ,22/015669-2012                                    ,08/08/2012,VERDE
5600,"ATENCION RAPIDA A CLIENTES TRES, S. A. DE C. V.                                                                                                                                                                                                                ",AV. PROL. CORREGIDORA NORTE NO. 370                                                                                                                                                                                                                            ,QUERETARO                ,SANTIAGO DE QUERETARO                                                                                                                                                                                                                                          ,07/010435-2012                                    ,20/05/2012,VERDE
5602,"SERVICIO EL LLANO, SA DE CV                                                                                                                                                                                                                                    ",CALLE TAMPICO # 255                                                                                                                                                                                                                                            ,NAYARIT                  ,JALA                                                                                                                                                                                                                                                           ,15/015305-2012                                    ,02/08/2012,AMARILLO
5603,"SERVICIO MAGNOLIAS, S.A. DE C.V.                                                                                                                                                                                                                               ","CARRT. MEXICO-TEXCOCO KM 27 MZ-10, LT-01                                                                                                                                                                                                                       ",MEXICO                   ,CHICOLOAPAN                                                                                                                                                                                                                                                    ,18/008171-2012                                    ,18/04/2012,AMARILLO
5604,"ENERLIQUIDOS M L, S.A. DE C.V.                                                                                                                                                                                                                                 ",AV. PRAXEDIS BALBOA Y RIO PANUCO                                                                                                                                                                                                                               ,TAMAULIPAS               ,REYNOSA                                                                                                                                                                                                                                                        ,16/013552-2012                                    ,10/07/2012,VERDE
5605,MACIAS MUNOZ LEOCADIO                                                                                                                                                                                                                                          ,BLVD. GUSTAVO DIAZ ORDAZ ORIENTE # 1746                                                                                                                                                                                                                        ,JALISCO                  ,SAN JUAN DE LOS LAGOS                                                                                                                                                                                                                                          ,22/012778-2012                                    ,26/06/2012,ROJO
5606,"CARIATAPA SERVICIOS, SA DE CV                                                                                                                                                                                                                                  ",AV. REVOLUCION # 1214 SUR                                                                                                                                                                                                                                      ,SINALOA                  ,CULIACAN                                                                                                                                                                                                                                                       ,26/015802-2012                                    ,01/08/2012,VERDE
5609,"AUTO SERVICIO CAMIONERO TRES ESTRELLAS, S.A. DE C.V.                                                                                                                                                                                                           ",CARRT. GOMEZ PALACIO-JIMENEZ KM. 15                                                                                                                                                                                                                            ,DURANGO                  ,GOMEZ PALACIO                                                                                                                                                                                                                                                  ,16/008902-2012                                    ,23/04/2012,VERDE
561,NIDIA DEL ROSARIO DE FATIMA LUGO RICALDE                                                                                                                                                                                                                       ,CALLE 55 NO 172 X 40 Y 42                                                                                                                                                                                                                                      ,YUCATAN                  ,TEKAX                                                                                                                                                                                                                                                          ,14/009763-2012                                    ,12/05/2012,VERDE
5610,"GASOLINERIA EL TEPETATE, SA DE CV                                                                                                                                                                                                                              ","CARRT. TAMPICO-BARRA DE NAVIDAD KM. 42, MARGEN IZQ                                                                                                                                                                                                             ",SAN LUIS POTOSI          ,VILLA DE ARRIAGA                                                                                                                                                                                                                                               ,03/010365-2012                                    ,29/05/2012,ROJO
5612,EDUARDO DE LA GARZA S. DE R.L. DE C.V.                                                                                                                                                                                                                         ,AV. HIDALGO # 803 NORTE                                                                                                                                                                                                                                        ,NUEVO LEON               ,LINARES                                                                                                                                                                                                                                                        ,22/007377-2012                                    ,12/04/2012,VERDE
5613,"SUPER SERVICIO HERRERA DEL NORTE, SA DE CV                                                                                                                                                                                                                     ",SANTIAGO BLANCAS # 950                                                                                                                                                                                                                                         ,CHIHUAHUA                ,JUAREZ                                                                                                                                                                                                                                                         ,18/011761-2012                                    ,30/05/2012,VERDE
5617,"OBRA DOBLADENSE, S.A. DE C.V.                                                                                                                                                                                                                                  ",CARRT. MANUEL DOBLADO-LEON KM 2 VIA STA. ROSA                                                                                                                                                                                                                  ,GUANAJUATO               ,MANUEL DOBLADO                                                                                                                                                                                                                                                 ,22/013849-2012                                    ,06/07/2012,AMARILLO
5622,"SERVICIO MAZAPILTEPEC, SA DE CV                                                                                                                                                                                                                                ",AV. PRINCIPAL S/N.                                                                                                                                                                                                                                             ,PUEBLA                   ,MAZAPILTEPEC DE JUAREZ                                                                                                                                                                                                                                         ,08/016597-2012                                    ,21/08/2012,AMARILLO
5625,IGNACIO GONZALEZ NAVARRETE                                                                                                                                                                                                                                     ,KM.200 CARRT. NAL. PLAYA AZUL-ZIHUATANEJO                                                                                                                                                                                                                      ,GUERRERO                 ,LA UNION                                                                                                                                                                                                                                                       ,02/014046-2012                                    ,18/07/2012,VERDE
5627,"SERVICIOS ACEVES, S.A. DE C.V.                                                                                                                                                                                                                                 ",AV. LAZARO CARDENAS NO. 2776                                                                                                                                                                                                                                   ,JALISCO                  ,TLAQUEPAQUE                                                                                                                                                                                                                                                    ,15/016128-2012                                    ,20/08/2012,VERDE
5628,"GASOLINERAS GRUPO MEXICANO, S.A. DE C.V.                                                                                                                                                                                                                       ",Av. Javier Rojo Gomez No. 482                                                                                                                                                                                                                                  ,DISTRITO FEDERAL         ,IZTAPALAPA                                                                                                                                                                                                                                                     ,15/007658-2012                                    ,04/04/2012,VERDE
563,NIDIA DEL ROSARIO DE FATIMA LUGO RICALDE                                                                                                                                                                                                                       ,CALLE 23 NO.273                                                                                                                                                                                                                                                ,YUCATAN                  ,TICUL                                                                                                                                                                                                                                                          ,14/009742-2012                                    ,14/05/2012,VERDE
5630,"SERVIDIESEL DEL BAJIO, S.A. DE C.V.                                                                                                                                                                                                                            ",CARR. A JARAL 1005                                                                                                                                                                                                                                             ,GUANAJUATO               ,CORTAZAR                                                                                                                                                                                                                                                       ,08/006598-2012                                    ,25/03/2012,VERDE
5633,"OPERADORA DE ESTACIONES DE SERVICIO ACAPULCO, SA DE CV                                                                                                                                                                                                         ",AV. CONSTITUYENTES # 1302                                                                                                                                                                                                                                      ,GUERRERO                 ,ACAPULCO DE JUAREZ                                                                                                                                                                                                                                             ,02/010315-2012                                    ,29/05/2012,VERDE
5634,"CEGASEL, S.A. DE C.V.                                                                                                                                                                                                                                          ",AV DE LAS JACARANDAS SIN NUMERO ESQ DEL GRANADO L-69 Y L 69-A                                                                                                                                                                                                  ,VERACRUZ                 ,XALAPA                                                                                                                                                                                                                                                         ,21/013809-2012                                    ,13/07/2012,VERDE
5634,"CEGASEL, S.A. DE C.V.                                                                                                                                                                                                                                          ",AV DE LAS JACARANDAS SIN NUMERO ESQ DEL GRANADO L-69 Y L 69-A                                                                                                                                                                                                  ,VERACRUZ                 ,XALAPA                                                                                                                                                                                                                                                         ,23/014745-2012                                    ,17/07/2012,VERDE
5635,"SERVICIO CIMOGUA, SA DE CV                                                                                                                                                                                                                                     ",KM 1 CARR.PINOTEPA NAL-ACAPULCO#410 SECCION TERCER                                                                                                                                                                                                             ,OAXACA                   ,SANTIAGO PINOTEPA NACIONAL                                                                                                                                                                                                                                     ,02/011224-2012                                    ,07/06/2012,VERDE
5636,SERVICIO VEGA ATIZAPAN S.A. DE C.V.                                                                                                                                                                                                                            ,BLVD. RUIZ CORTINEZ # 7-A                                                                                                                                                                                                                                      ,MEXICO                   ,ATIZAPAN                                                                                                                                                                                                                                                       ,21/007625-2012                                    ,13/04/2012,VERDE
5637,VICTOR MANUEL BOLA/OS GONZALEZ                                                                                                                                                                                                                                 ,KM. 93.5 CARRT. SAN CLEMENTE-MASCOTA                                                                                                                                                                                                                           ,JALISCO                  ,MASCOTA                                                                                                                                                                                                                                                        ,15/009788-2012                                    ,14/05/2012,VERDE
564,"COMBUSTIBLES Y LUBRICANTES DE ORIENTE, S.A. DE C.V.                                                                                                                                                                                                            ",CALLE 51 NO. 491-A                                                                                                                                                                                                                                             ,YUCATAN                  ,TIZIMIN                                                                                                                                                                                                                                                        ,14/009731-2012                                    ,07/05/2012,AMARILLO
5640,EDGAR ARIAS GARFIAS                                                                                                                                                                                                                                            ,CARRT. MORELIA-MARAVATIO KM. 49.65                                                                                                                                                                                                                             ,MICHOACAN                ,ZINAPECUARO                                                                                                                                                                                                                                                    ,09/011419-2012                                    ,05/06/2012,VERDE
5644,RICARDO CRUZ AGUILERA                                                                                                                                                                                                                                          ,CARRT. ABASOLO-ESTACION JOAQUIN KM. .5                                                                                                                                                                                                                         ,GUANAJUATO               ,ABASOLO                                                                                                                                                                                                                                                        ,13/006143-2012                                    ,26/03/2012,VERDE
5645,"SERVICIO CIMOGUA, SA DE CV                                                                                                                                                                                                                                     ",KM.1 CARRETERA PINOTEPA NACIONAL-PTO.ESCONDIDO #312 SECCION PRIMERA                                                                                                                                                                                            ,OAXACA                   ,SANTIAGO PINOTEPA NACIONAL                                                                                                                                                                                                                                     ,02/011225-2012                                    ,07/06/2012,VERDE
